Question,Answer
What is the difference between macro and functions?,"A macro is a name that is given to a block of C statements as a pre-processor directive. Macro is defined with the pre-processor directive. Macros are pre-processed which means that all the macros would be preprocessed before the compilation of our program. However, functions are not preprocessed but compiled. "
How to convert a string to numbers in C?,"In C we have 2 main methods to convert strings to numbers i.e, Using string stream, Using stoi() library Function, and using atoi() library function. sscanf(): It reads input from a string rather than standard input.atoi() or stoi(): These functions takes a string literal or a character array as an argument and an integer value is returned."
What are reserved keywords?,"Every keyword is meant to perform a specific task in a program. Their meaning is already defined and cannot be used for purposes other than what they are originally intended for. C Programming language supports 32 keywords. Some examples of reserved keywords are auto, else, if, long, int, switch, typedef, etc."
What is a structure?,The structure is a keyword that is used to create user-defined data types. The structure allows storing multiple types of data in a single unit. The structure members can only be accessed through the structure variable.
 What is union?,"A union is a user-defined data type that allows users to store multiple types of data in a single unit. However, a union does not occupy the sum of the memory of all members. It holds the memory of the largest member only. Since the union allocates one common space for all the members we can access only a single variable at a time. The union can be useful in many situations where we want to use the same memory for two or more members."
What is an r-value and value?,"An “l-value” refers to an object with an identifiable location in memory (i.e. having an address).  An “l-value” will appear either on the right or left side of the assignment operator(=). An “r-value” is a data value stored in memory at a given address. An “r-value” refers to an object without an identifiable location in memory (i.e. without an address). An “r-value” is an expression that cannot be assigned a value, therefore it can only exist on the right side of an assignment operator (=)."
What is the sleep() function?,sleep() function in C allows the users to wait for a current thread for a given amount of time. sleep() function will sleep the present executable for the given amount of time by the thread but other operations of the CPU will function properly. sleep() function returns 0 if the requested time has elapsed.
What are enumerations?,"In C, enumerations (or enums) are user-defined data types. Enumerations allow integral constants to be named, which makes a program easier to read and maintain. For example, the days of the week can be defined as an enumeration and can be used anywhere in the program."
What is a volatile keyword?,"Volatile keyword is used to prevent the compiler from optimization because their values can’t be changed by code that is outside the scope of current code at any time. The System always reads the current value of a volatile object from the memory location rather than keeping its value in a temporary register at the point it is requested, even if previous instruction is asked for the value from the same object."
Write a C program to print the Fibonacci series using recursion and without using recursion.,"// C program to print Fibonacci Series 
// with recursion and without recursion 
#include <stdio.h> 
  
// Recursive Function to print 
// Fibonacci Series 
void Fibonacci(int num, int first, int second, int third) 
{ 
    if (num > 0) { 
        third = first + second; 
        first = second; 
        second = third; 
  
        printf(""%d "", third); 
  
        // Recursive call for it's 
        // n-1 value 
        Fibonacci(num - 1, first, second, third) 
    } 
} 
  
// Driver code 
int main() 
{ 
    int num; 
  
    printf(""Please Enter number of Elements: ""); 
    scanf(""%d"", &num); 
  
    printf( 
        ""Fibonacci Series with the help of Recursion:\n""); 
  
    printf(""%d %d "", 0, 1); 
  
    // we are passing n-2 because we have 
    // already printed 2 numbers i.e, 0 and 1 
  
    Fibonacci(num - 2, 0, 1, 0); 
  
    printf(""\nFibonacci Series without Using Recursion:\n""); 
  
    int first = 0, second = 1, third = 0; 
  
    printf(""%d %d "", 0, 1); 
  
    // Loop will start from 2 because we have 
    // already printed 0 and 1 
    for (int i = 2; i < num; i++) { 
        third = first + second; 
  
        printf(""%d "", third); 
  
        first = second; 
        second = third; 
    } 
  
    return 0; 
}"
Write a C program to check whether a number is prime or not.,"// C program to check if a 
// number is prime 
#include <math.h> 
#include <stdio.h> 
  
// Driver code 
int main() 
{ 
    int num; 
    int check = 1; 
  
    printf(""Enter a number: \n""); 
    scanf(""%d"", &num); 
  
    // Iterating from 2 to sqrt(num) 
    for (int i = 2; i <= sqrt(num); i++) { 
        // If the given number is divisible by 
        // any number between 2 and n/2 then 
        // the given number is not a prime number 
        if (num % i == 0) { 
            check = 0; 
            break; 
        } 
    } 
  
    if (num <= 1) { 
        check = 0; 
    } 
  
    if (check == 1) { 
        printf(""%d is a prime number"", num); 
    } 
    else { 
        printf(""%d is not a prime number"", num); 
    } 
  
    return 0; 
}"
What is static memory allocation?,Memory allocation which is done at compile time is known as static memory allocation. Static memory allocation saves running time. It is faster than dynamic memory allocation as memory allocation is done from the stack. This memory allocation method is less efficient as compared to dynamic memory allocation. It is mostly preferred in the array.
What is  dynamic memory allocation?, Memory allocation done at execution or run time is known as dynamic memory allocation. Dynamic memory allocation is slower than static memory allocation as memory allocation is done from the heap. This memory allocation method is more efficient as compared to static memory allocation. It is mostly preferred in the linked list.
What is pass-by-reference in functions? ,"Pass by reference allows a function to modify a variable without making a copy of the variable. The Memory location of the passed variable and parameter is the same, so any changes done to the parameter will be reflected by the variables as well."
What is a memory leak and how to avoid it?,"Whenever a variable is defined some amount of memory is created in the heap. If the programmer forgets to delete the memory. This undeleted memory in the heap is called a memory leak. The Performance of the program is reduced since the amount of available memory was reduced. To avoid memory leaks, memory allocated on the heap should always be cleared when it is no longer needed."
What are command line arguments?,Arguments that are passed to the main() function of the program in the command-line shell of the operating system are known as command-line arguments.
What is an auto keyword?,Every local variable of a function is known as an automatic variable in the C language. Auto is the default storage class for all the variables which are declared inside a function or a block. Auto variables can only be accessed within the block/function they have been declared. We can use them outside their scope with the help of pointers. By default auto keywords consist of a garbage value
Write a C program to swap two numbers without using a third variable.,"// C program to swap two variables 
// without using a third variable 
#include <stdio.h> 
  
int main() 
{ 
    // Variable declaration 
    int var1 = 50; 
    int var2 = 60; 
  
    printf( 
        ""Values before swap are var1 = %d and var2 = %d\n"", 
        var1, var2); 
  
    // var1 = 110 ( 50 + 60)  
    var1 = var1 + var2; 
  
    // var2 = 50 (110 - 50) 
    var2 = var1 - var2; 
  
    // var1 = 60 (110 - 50) 
    var1 = var1 - var2; 
  
    printf(""Values after swap are var1 = %d  and var2 = %d"", 
           var1, var2); 
  
    return 0;                                                                                                                        
   }   Output
Values before swap are var1 = 50 and var2 = 60
Values after swap are var1 = 60  and var2 = 50"
Write a program to check whether a string is a palindrome or not.,"// C program to check whether a 
// string is palindrome or not. 
#include <stdio.h> 
#include <string.h> 
  
// Palindrome function to check 
// whether a string is palindrome 
// or not 
void Palindrome(char s[]) 
{ 
    // Start will start from 0th index 
    // and end will start from length-1  
    int start = 0; 
    int end = strlen(s) - 1; 
  
    // Comparing characters until they 
    // are same  
    while (end > start) { 
        if (s[start++] != s[end--]) { 
            printf(""%s is not a Palindrome \n"", s); 
            return; 
        } 
    } 
    printf(""%s is a Palindrome \n"", s); 
} 
  
// Driver code 
int main() 
{ 
    Palindrome(""abba""); 
    return 0; 
}
Output
abba is a Palindrome"
Explain modifiers,"Modifiers are keywords that are used to change the meaning of basic data types in C language. They specify the amount of memory that is to be allocated to the variable. There are five data type modifiers in the C programming language:

long
short
signed
unsigned
long long"
Write a program to print the factorial of a given number with the help of recursion.,"// C program to find factorial 
// of a given number 
#include <stdio.h> 
  
// Function to find factorial of 
// a given number 
unsigned int factorial(unsigned int n) 
{ 
    if (n == 0) 
        return 1; 
    return n * factorial(n - 1); 
} 
  
// Driver code 
int main() 
{ 
    int num = 5; 
    printf(""Factorial of %d is %d"", num, factorial(num)); 
    return 0; 
}
Output
Factorial of 5 is 120"
 Write a program to check an Armstrong number.,"// C program to determine whether 
// the given number is Armstrong 
// or not 
#include <stdio.h> 
  
// Driver code 
int main() 
{ 
    int n; 
  
    printf(""Enter Number \n""); 
    scanf(""%d"", &n); 
  
    int var = n; 
    int sum = 0; 
  
    // Loop to calculate the order of 
    // the given number  
    while (n > 0) { 
        int rem = n % 10; 
        sum = (sum) + (rem * rem * rem); 
        n = n / 10; 
    } 
  
    // If the order of the number will be 
    // equal to the number then it is 
    // Armstrong number. 
    if (var == sum) { 
        printf(""%d is an Armstrong number \n"", var); 
    } 
    else { 
        printf(""%d is not an Armstrong number"", var); 
    } 
    return 0; 
}"
Write a program to reverse a given number.,"// C program to reverse digits 
// of a number 
#include <stdio.h> 
  
// Driver code 
int main() 
{ 
    int n, rev = 0; 
  
    printf(""Enter Number to be reversed : ""); 
    scanf(""%d"", &n); 
  
    // r will store the remainder while we 
    // reverse the digit and store it in rev 
    int r = 0; 
      while (n != 0) 
    { 
        r = n % 10; 
        rev = rev * 10 + r; 
        n /= 10; 
    } 
  
    printf(""Number After reversing digits is: %d"", rev); 
  
    return 0; 
}"
What is the use of an extern storage specifier?,"The extern keyword is used to extend the visibility of the C variables and functions in the C language. Extern is the short name for external. It is used when a particular file needs to access a variable from any other file. Extern keyword increases the redundancy and variables with extern keyword are only declared not defined. By default functions are visible throughout the program, so there is no need to declare or define extern functions."
"What is the use of printf() and scanf() functions in C Programming language? Also, explain format specifiers.","printf() function is used to print the value which is passed as the parameter to it on the console screen.

Syntax:

print(“%X”,variable_of_X_type);

scanf() method, reads the values from the console as per the data type specified.

Syntax:

scanf(“%X”,&variable_of_X_type);

In C format specifiers are used to tell the compiler what type of data will be present in the variable during input using scanf() or output using print().

%c: Character format specifier used to display and scan character.
%d, %i: Signed Integer format specifier used to print or scan an integer value.
%f, %e, or %E: Floating-point format specifiers are used for printing or scanning float values.
%s: This format specifier is used for String printing.
%p: This format specifier is used for Address Printing."
"What is near, far, and huge pointers in C?","Near Pointers: Near pointers are used to store 16-bit addresses only. Using the near pointer, we can not store the address with a size greater than 16 bits.
Far Pointers: A far pointer is a pointer of 32 bits size. However, information outside the computer’s memory from the current segment can also be accessed.
Huge Pointers: Huge pointer is typically considered a pointer of 32 bits size. But bits located outside or stored outside the segments can also be accessed."
Write a Program to check whether a linked list is circular or not.,"// C program to check if the linked list is circular 
#include <stdio.h> 
#include <stdlib.h> 
struct Node { 
    int data; 
    struct Node* next; 
}; 
int isCircular(struct Node* head) 
{ 
  
    // If given linked list is null then it is circular 
    if (head == NULL) { 
        return 1; 
    } 
    struct Node* ptr; 
    ptr = head->next; 
  
    // Traversing linked list till last node 
    while (ptr != NULL && ptr != head) { 
        ptr = ptr->next; 
    } 
  
    // will return 1 if Linked list is circular else 0 
    return (ptr == head); 
} 
  
struct Node* newnode(int data) 
{ 
    struct Node* first; 
    first = (struct Node*)malloc(sizeof(struct Node)); 
    first->data = data; 
    first->next = NULL; 
    return first; 
} 
  
int main() 
{ 
  
    struct Node* head = newnode(10); 
    head->next = newnode(12); 
    head->next->next = newnode(14); 
    head->next->next->next = newnode(16); 
    head->next->next->next->next = head; 
  
    // if it will be 1 then it means linked list is 
    // circular  
    if (isCircular(head)) { 
        printf(""Linked List is Circular\n""); 
    } 
    else { 
        printf(""Linked List is Not Circular\n""); 
    } 
  
    return 0; 
}"
 Write a program to Merge two sorted linked lists.,"// C program to merge two sorted 
// linked lists 
#include <assert.h> 
#include <stdio.h> 
#include <stdlib.h> 
  
// Linked List Node 
struct Node { 
    int data; 
    struct Node* next; 
}; 
  
/* Pull off the front node of the 
   source and put it in dest 
 */
void MoveNode(struct Node** destRef, 
              struct Node** sourceRef); 
  
/* Takes two lists sorted in increasing order, 
   and splices their nodes together to make 
   one big sorted list which is returned.  */
struct Node* SortedMerge(struct Node* a, struct Node* b) 
{ 
    /* A dummy first node to hang the 
       result on */
    struct Node dummy; 
  
    /* tail points to the last result node  */
    struct Node* tail = &dummy; 
  
    /* so tail->next is the place to add new 
       nodes to the result. */
    dummy.next = NULL; 
    while (1) { 
        if (a == NULL) { 
            /* if either list runs out, use the 
               other list */
            tail->next = b; 
            break; 
        } 
        else if (b == NULL) { 
            tail->next = a; 
            break; 
        } 
        if (a->data <= b->data) 
            MoveNode(&(tail->next), &a); 
        else
            MoveNode(&(tail->next), &b); 
        tail = tail->next; 
    } 
    return (dummy.next); 
} 
  
/* UTILITY FUNCTIONS */
/* MoveNode() function takes the node 
   from the front of the source, and 
   move it to the front of the dest. 
   It is an error to call this with the 
   source list empty. 
  
   Before calling MoveNode(): 
   source == {1, 2, 3} 
   dest == {1, 2, 3} 
  
   After calling MoveNode(): 
   source == {2, 3} 
   dest == {1, 1, 2, 3} */
void MoveNode(struct Node** destRef, 
              struct Node** sourceRef) 
{ 
    /* The front source node  */
    struct Node* newNode = *sourceRef; 
    assert(newNode != NULL); 
  
    /* Advance the source pointer */
    *sourceRef = newNode->next; 
  
    /* Link the old dest off the new node */
    newNode->next = *destRef; 
  
    /* Move dest to point to the new node */
    *destRef = newNode; 
} 
  
/* Function to insert a node at the beginning of the 
   linked list */
void push(struct Node** head_ref, int new_data) 
{ 
    /* allocate node */
    struct Node* new_node 
        = (struct Node*)malloc(sizeof(struct Node)); 
  
    /* put in the data  */
    new_node->data = new_data; 
  
    /* link the old list off the new node */
    new_node->next = (*head_ref); 
  
    /* move the head to point to the new node */
    (*head_ref) = new_node; 
} 
  
/* Function to print nodes in a given linked list */
void printList(struct Node* node) 
{ 
    while (node != NULL) { 
        printf(""%d "", node->data); 
        node = node->next; 
    } 
} 
  
/* Driver program to test above functions*/
int main() 
{ 
    /* Start with the empty list */
    struct Node* res = NULL; 
    struct Node* a = NULL; 
    struct Node* b = NULL; 
  
    /* Let us create two sorted linked lists to test 
      the functions 
       Created lists, a: 5->10->15,  b: 2->3->20 */
    push(&a, 15); 
    push(&a, 10); 
    push(&a, 5); 
  
    push(&b, 20); 
    push(&b, 3); 
    push(&b, 2); 
  
    /* Remove duplicates from linked list */
    res = SortedMerge(a, b); 
  
    printf(""Merged Linked List is: \n""); 
    printList(res); 
  
    return 0; 
}"
". What is the difference between getc(), getchar(), getch() and getche().","getc(): The function reads a single character from an input stream and returns an integer value (typically the ASCII value of the character) if it succeeds. On failure, it returns the EOF.
getchar(): Unlike getc(), gechar() can read from standard input; it is equivalent to getc(stdin).
getch(): It is a nonstandard function and is present in ‘conio.h’ header file which is mostly used by MS-DOS compilers like Turbo C. 
getche(): It reads a single character from the keyboard and displays it immediately on the output screen without waiting for enter key."
What is C language?,"C is a mid-level and procedural programming language. The Procedural programming language is also known as the structured programming language is a technique in which large programs are broken down into smaller modules, and each module uses structured code. This technique minimizes error and misinterpretation"
Why is C known as a mother language?,"C is known as a mother language because most of the compilers and JVMs are written in C language. Most of the languages which are developed after C language has borrowed heavily from it like C++, Python, Rust, javascript, etc. It introduces new core concepts like arrays, functions, file handling which are used in these languages"
What is an array in C?,"An Array is a group of similar types of elements. It has a contiguous memory location. It makes the code optimized, easy to traverse and easy to sort. The size and type of arrays cannot be changed after its declaration."
Write a method in C which will remove any given character from a String.,"#include <stdio.h>
#include <string.h>
void removeChar(char *str, char c) {
    int i, j;
    int len = strlen(str);
    for (i = j = 0; i < len; i++) {
        if (str[i] != c) {
            str[j++] = str[i];
        }
    }
    str[j] = '\0';
}

int main() {
    char str[100], c;
    printf(""Enter a string: "");
    fgets(str, 100, stdin);
    printf(""Enter a character you want to remove: "");
    scanf(""%c"", &c);
    removeChar(str, c);
    printf(""String after removing '%c': %s\n"", c, str);
    return 0;
}"
C Program to count the occurrence of given character in String,"#include <stdio.h>
#include <conio.h>
#include <string.h>
int countOccurrence(char *str, char ch)
{
	int i, count = 0;
	int len = strlen(str);
	for (i = 0; i < len; i++)
	{
		if (str[i] == ch)
		{
			count++;
		}
	}
	return count;
}

void main()
{
	int count;
	char str[100], ch;
	printf(""Enter a string: "");
	fgets(str, 100, stdin);
	printf(""Enter a character you want to count: "");
	scanf(""%c"", &ch);
	count = countOccurrence(str, ch);
	printf(""total occurence of '%c': %d"", ch, count);
	getch();
}"
C Program to Check a given character is Vowel or Consonant,"#include <stdio.h>
int main()
{
  char ch;
  printf(""C program to check given character is vowel or consonant \n"");
  printf(""Please enter a character\n"");
  scanf(""%c"", &ch);
  if ((ch >= 'a' && ch <= 'z') || (ch >= 'A' &&ch <= 'Z')) {
    if (ch=='a' || ch=='A' || ch=='e' || ch=='E' || ch=='i' || ch=='I' || ch=='o' || ch=='O' || ch== 'u' || ch=='U')
      printf(""Given Character %c is a vowel.\n"", ch);
    else
      printf(""Given Character %c is a consonant.\n"", ch);
  }
  else
    printf(""Given Character %c is neither a vowel nor a consonant.\n"", ch);
  return 0;
}"
C Program to check character is digit or not,"#include<stdio.h>
int main()
{
    char ch;
    printf(""C program to check given character is digit or not \n"");
    printf(""Please enter a character: "");
    scanf(""%c"", &ch);
    if(ch>='0' && ch<='9')
    {
        printf(""Given Character %c is Digit."", ch);
    }
    else
    {
        printf(""Given Character %c is Not Digit."", ch);
    }
    return(0);
}"
C Program to convert lowercase char to uppercase of string without using string manipulation library functions,"#include<stdio.h>
int main()
{
    char str[100];
    int i = 0;
    printf(""Convert lower case into upper case Char using C \n"");
    printf(""Please enter a string: "");
    fgets(str, 100, stdin);
    while( str[i] != '\0' )
    {
        if( str[i] >= 'a' && str[i] <= 'z' )
        {
            str[i] = str[i] - 32;
        }
        i++;
    }
    printf(""String after converting into upper case : \n%s"", str);
    return 0;
}"
C Program to convert lowercase char to uppercase of string using strupr() function,"#include<stdio.h>
#include<string.h>
int main()
{
    char str[100];
    printf(""Convert lower case into upper case Char using C \n"");
    printf(""Please enter a string: "");
    fgets(str, 100, stdin);
    strupr(str);
    printf(""String after converting into uppercase = %s"",str);
    return 0;

}"
C Program to convert lowercase char to uppercase of string using the pre-defined function toupper(),"#include<stdio.h>
#include<ctype.h>
int main()
{
   char str[100];
   printf(""Convert lower case into upper case Char using C \n"");
   printf(""Please enter a String: "");
   fgets(str, 100, stdin);
   for(int i=0; str[i]!='\0'; i++)
   {
      str[i] = toupper(str[i]);
   }
   printf(""String after converting into uppercase: %s \n"", str);
   return 0;
}"
C program to delete vowels in a given string,"#include <stdio.h>
#include <string.h>
int main()
{
    char str[100];
    int i,j,len=0;
    printf(""C program to delete all vowels from String \n"");
    printf(""Please enter a string : "");
    fgets(str, 100, stdin);
    len=strlen(str);
    for(i=0; i<len; i++)
    {
        if(str[i]=='a'||str[i]=='e'||str[i]=='i'||str[i]=='o'||str[i]=='u'||str[i]=='A'||str[i]=='E'||str[i]=='I'||str[i]=='O'||str[i]=='U')
        {
            for(j=i; j<len; j++)
            {
                str[j]=str[j+1];
            }
            i--;
            len--;
        }
    }
    printf(""After deleting the vowels string is : %s"",str);
    return 0;
}"
Program in C to print highest frequency character in String with count,"#include <stdio.h>
#include <string.h>
 
int main()
{
    char str[100], result;
    int i, len;
    int max = 0;
    int freq[256] = {0};
    printf(""C Program to Find Maximum Occurring Character in a String \n"");
    printf(""Please Enter a String :  "");
    fgets(str, 100, stdin);
    len = strlen(str);
    for(i = 0; i < len; i++)
    {
        freq[str[i]]++;
    }
    for(i = 0; i < len; i++)
    {
        if(max <= freq[str[i]])
        {
            max = freq[str[i]];
            result = str[i];
        }
    }
    printf(""\n Maximum Occurring Character in a String %s is '%c'  %d times"", str, result, max);
    return 0;
}"
C Program to print maximum occurrence character in string with count,"#include<stdio.h>
int main()
{
    char str[100];
    printf(""C program to replace first vowel with '-' \n"");
    printf(""Please enter a String: "");
    fgets(str, 100, stdin);
    for(int i=0; str[i]!='\0'; i++)
    {
        if(str[i]=='a'||str[i]=='e'||str[i]=='i'||str[i]=='o'||str[i]=='u'||str[i]=='A'||str[i]=='E'||str[i]=='I'||str[i]=='O'||str[i]=='U') {
            str[i] = '-';
            break;
        }
    }
    printf(""String after replacing first vowel with '-': %s\n"", str);
    return 0;
}"
"C program to count alphabets, digits and special characters","#include <stdio.h>
#include <string.h>
#include <ctype.h>
int main() {
   char str[256];
   int alpha=0, digit=0, specialChar = 0,i;
   printf(""C program to count alphabet, digit and special character \n"");
   printf(""Please Enter a String :  "");
   scanf(""%[^\n]%*c"", str);
   int len = strlen(str);
   for(i=0; i<len; i++)
   {
    if (isdigit(str[i]))
      digit++;
    else if (isalpha(str[i]))
      alpha++;
    else
      specialChar++;
    }
   printf(""alphabets = %d, digits = %d, specialChars = %d "", alpha, digit, specialChar);
   return 0;
}"
C program to separate characters in a given string,"#include &lt;stdio.h&gt;
#include &lt;string.h&gt;
int main() {
   char str[256];
   int alpha=0, digit=0, specialChar = 0,i;
   printf(""C program to separate character \n"");
   printf(""Please Enter a String :  "");
   scanf(""%[^\n]"", str);
   int len = strlen(str);
   printf(""Printing Character of string\n"");
   for(i=0; i&lt;len; i++)
   {
    printf(""%c \n"",str[i]);
   }
   return 0;
}"
